Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age,Claim
C2B,Airlines,Online,Annual Silver Plan,F,365,SINGAPORE,216.0,54.0,57,No
EPX,Travel Agency,Online,Cancellation Plan,,4,MALAYSIA,10.0,0.0,33,No
JZI,Airlines,Online,Basic Plan,M,19,INDIA,22.0,7.7,26,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,20,UNITED STATES,112.0,0.0,59,No
C2B,Airlines,Online,Bronze Plan,M,8,SINGAPORE,16.0,4.0,28,No
EPX,Travel Agency,Online,Cancellation Plan,,2,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,25,"KOREA, REPUBLIC OF",50.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,90,SINGAPORE,78.0,0.0,22,No
JZI,Airlines,Online,Basic Plan,M,4,THAILAND,22.0,7.7,39,No
EPX,Travel Agency,Online,Cancellation Plan,,24,GERMANY,80.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,43,JAPAN,40.0,0.0,28,No
C2B,Airlines,Online,Annual Silver Plan,M,365,SINGAPORE,216.0,54.0,27,No
JZI,Airlines,Online,Basic Plan,F,103,"KOREA, REPUBLIC OF",26.0,9.1,48,No
C2B,Airlines,Online,Annual Silver Plan,F,376,SINGAPORE,252.85,63.21,43,Yes
EPX,Travel Agency,Online,Cancellation Plan,,6,SINGAPORE,10.0,0.0,43,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,16,INDONESIA,47.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,8,JAPAN,25.0,0.0,27,No
EPX,Travel Agency,Online,Cancellation Plan,,27,SINGAPORE,10.0,0.0,51,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,34,THAILAND,23.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,3,MALAYSIA,20.0,0.0,65,No
EPX,Travel Agency,Online,Cancellation Plan,,14,MALAYSIA,10.0,0.0,47,No
JZI,Airlines,Online,Basic Plan,M,12,VIET NAM,30.0,10.5,35,Yes
EPX,Travel Agency,Online,Cancellation Plan,,31,UNITED STATES,80.0,0.0,54,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,43,AUSTRALIA,42.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,5,MALAYSIA,10.0,0.0,23,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,THAILAND,56.0,0.0,46,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,56,UNITED STATES,19.8,11.88,33,No
EPX,Travel Agency,Online,Cancellation Plan,,29,INDIA,14.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,30,SINGAPORE,16.0,4.0,58,Yes
