ActualShippingDays,ExpectedShippingDays,Carrier,YShippingDistance,XShippingDistance,InBulkOrder,ShippingOrigin,OrderDate,OrderID,ShippingPriority,OnTimeDelivery,ProductId
11,11,GlobalFreight,100,-44,Bulk Order,Atlanta,9/11/20,e6eeeb9c-efe6-48db-b504-90447261f003,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15,15,MicroCarrier,18,-154,Single Order,Seattle,6/22/21,d1ebdb54-7334-4217-a4a5-ea8a859e14c2,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13,12,GlobalFreight,-14,-389,Bulk Order,Chicago,12/25/20,f9e3549a-da76-4462-b4bc-facaa3644aec,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
17,16,Shipper,301,-13,Single Order,San Francisco,7/6/21,7dab66a8-b20e-4819-93a3-39ff05e144b3,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
17,16,Shipper,118,89,Single Order,San Francisco,4/3/21,2986e9bc-d8ea-4211-9ca3-78bea4d27485,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
20,13,Shipper,-290,-21,Bulk Order,Chicago,6/17/21,8523688b-34d8-45a3-baf3-e8b5bec24e4e,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
18,15,Shipper,-190,7,Single Order,Las Vegas,6/14/20,2be9d8dd-6a0d-4776-aae9-12b4e35fb7c5,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
14,15,Shipper,-17,104,Single Order,Seattle,8/17/20,52b80fb0-3f4f-4c6f-9e2f-dd2799a3f912,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14,13,BigBird,-94,160,Single Order,Las Vegas,4/4/21,10a50047-8e81-41e1-b3f2-f0c9f6a9a00b,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
8,9,Shipper,115,-34,Bulk Order,Salt Lake City,3/21/20,faaaee1f-2f68-4cf5-be5d-eef34b07ded7,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
19,15,GlobalFreight,277,20,Bulk Order,Seattle,8/23/21,59408df2-3ad1-41c6-9445-177f1a7ce612,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
19,16,BigBird,185,-36,Single Order,New York City,2/1/20,6d20e695-d332-447d-8d16-37347ef568b3,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
17,16,Shipper,209,-9,Bulk Order,Seattle,4/13/20,35795df4-e701-4dc8-89b3-5a4c82939522,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
20,14,Shipper,-38,153,Single Order,Atlanta,2/17/20,cc97956d-b0af-4df1-88b6-8140125070c7,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
9,10,MicroCarrier,-117,-30,Bulk Order,New York City,5/30/20,056afb77-02e1-4588-993e-d529f03617c1,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
17,14,Shipper,-47,196,Single Order,Seattle,12/11/20,a6c713c1-af0e-43f9-adbb-04e2c79bb3d1,Standard,Late,b35af302-9875-4471-8464-9d2645c27a4d
12,12,Shipper,91,-54,Bulk Order,Las Vegas,1/5/21,b4fdb6c1-3ffe-4cd5-9110-6b5c63936193,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15,15,Shipper,-98,44,Single Order,San Francisco,12/29/21,d4000494-fdd2-42ee-b4d2-cdd86b781754,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
16,16,GlobalFreight,140,-21,Single Order,San Francisco,8/28/21,6128b2c6-9ae8-4b95-a775-6d164ed7bd5f,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
14,15,BigBird,126,21,Single Order,Atlanta,11/18/21,ebab3556-86aa-449d-a18a-b4f21c3a6d7b,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
12,12,MicroCarrier,-176,13,Single Order,Atlanta,2/10/21,4436688e-a295-4237-a3a8-445a7a43a286,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
19,18,BigBird,64,-174,Single Order,Seattle,8/16/21,9146b414-0734-42e7-a6df-cb9051f2e26d,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15,14,Shipper,188,-36,Single Order,San Francisco,2/15/20,11afd7ba-f248-49d6-b50e-b1361c544ba0,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
12,12,GlobalFreight,-8,167,Bulk Order,Chicago,2/8/20,4311dd19-ca5a-4f24-8ab4-d731c49e4e32,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15,13,BigBird,-435,18,Single Order,Seattle,4/6/20,5de33179-9d24-42f0-bf5d-c84686f87b7c,Air,Late,b35af302-9875-4471-8464-9d2645c27a4d
11,11,GlobalFreight,10,-159,Bulk Order,Atlanta,11/4/20,cdcf24fd-2e2f-424a-92b7-3c0e5de56b9e,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
9,9,Shipper,11,-197,Bulk Order,Salt Lake City,10/22/21,f25973bd-ded0-40d1-a6a0-db427d3f6449,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
17,15,BigBird,150,99,Single Order,New York City,2/21/21,9eebf980-3c31-4d4c-be5e-9dfc45225c98,Ground,Late,b35af302-9875-4471-8464-9d2645c27a4d
12,12,BigBird,123,-52,Single Order,Seattle,6/25/20,49912aef-f42a-4257-ad1d-89e74cc33456,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
13,14,GlobalFreight,259,-12,Single Order,Chicago,8/1/21,b44400ac-cb25-4c55-bc00-4b4b853866b8,Standard,On Time,b35af302-9875-4471-8464-9d2645c27a4d
17,18,BigBird,-8,-172,Single Order,San Francisco,1/28/21,59fef684-a644-4be7-b68c-1e4721137212,Express,On Time,b35af302-9875-4471-8464-9d2645c27a4d
17,16,BigBird,45,267,Single Order,Houston,11/10/20,5626eb93-8c1e-436e-9617-688d4874d38f,Ground,On Time,b35af302-9875-4471-8464-9d2645c27a4d
15,15,BigBird,87,-11,Single Order,Houston,9/14/20,b2216375-081c-4333-b1e0-623677c01e60,Air,On Time,b35af302-9875-4471-8464-9d2645c27a4d
